case,year,month,product,sector,n_cells,hfr_mean,hsc_mean,hfi_mean
A,2013,6,LEGOS_I_CS2,Eastern_Weddell,1007,0.11451557278633118,0.06367655843496323,0.17838653922080994
A,2013,6,LEGOS_I_CS2,Indian,680,0.04209563136100769,0.030306752771139145,0.07169266045093536
A,2013,6,LEGOS_I_CS2,Western_Pacific,392,0.15490390360355377,0.04529223591089249,0.19854740798473358
A,2013,6,LEGOS_I_CS2,Ross,1198,0.0998334065079689,0.0466257780790329,0.14618560671806335
A,2013,6,LEGOS_I_CS2,Amundsen_Bellingshausen,636,0.07411112636327744,0.039754629135131836,0.11107542365789413
B,2013,6,LEGOS_I_CS2,Western_Weddell,499,0.16573873162269592,0.0685955286026001,0.2353062778711319
B,2013,6,LEGOS_I_CS2,Eastern_Weddell,1007,0.11451557278633118,0.05426330119371414,0.16897328197956085
B,2013,6,LEGOS_I_CS2,Indian,680,0.04209563136100769,0.025826532393693924,0.06721243262290955
B,2013,6,LEGOS_I_CS2,Western_Pacific,392,0.15490390360355377,0.03859672322869301,0.1918518841266632
B,2013,6,LEGOS_I_CS2,Ross,1198,0.0998334065079689,0.039733123034238815,0.13929294049739838
B,2013,6,LEGOS_I_CS2,Amundsen_Bellingshausen,636,0.07411112636327744,0.03387773036956787,0.10519850999116898
C,2013,6,LEGOS_I_CS2,Western_Weddell,499,0.16573873162269592,0.09505891054868698,0.2607976496219635
C,2013,6,LEGOS_I_CS2,Eastern_Weddell,1007,0.11451557278633118,0.047630369663238525,0.1621459573507309
C,2013,6,LEGOS_I_CS2,Indian,680,0.04209563136100769,0.02867932617664337,0.07077496498823166
C,2013,6,LEGOS_I_CS2,Western_Pacific,392,0.15490390360355377,0.0383114293217659,0.19321532547473907
C,2013,6,LEGOS_I_CS2,Ross,1198,0.0998334065079689,0.04365254566073418,0.14348594844341278
C,2013,6,LEGOS_I_CS2,Amundsen_Bellingshausen,636,0.07411112636327744,0.045966118574142456,0.12007726728916168
D,2013,6,LEGOS_I_CS2,Western_Weddell,499,0.16573873162269592,0.08100642263889313,0.24674518406391144
D,2013,6,LEGOS_I_CS2,Eastern_Weddell,1007,0.11451557278633118,0.04058920964598656,0.15510478615760803
D,2013,6,LEGOS_I_CS2,Indian,680,0.04209563136100769,0.024439683184027672,0.06653532385826111
D,2013,6,LEGOS_I_CS2,Western_Pacific,392,0.15490390360355377,0.03264787793159485,0.18755176663398743
D,2013,6,LEGOS_I_CS2,Ross,1198,0.0998334065079689,0.03719942644238472,0.13703282177448273
D,2013,6,LEGOS_I_CS2,Amundsen_Bellingshausen,636,0.07411112636327744,0.03917098417878151,0.11328211426734924
A,2013,6,LEGOS_II_CS2,Western_Weddell,499,0.16573873162269592,0.05761154368519783,0.23982304334640503
